"id_no","taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason"
5479,5479,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,206.914450073242,849.861865234375,NA,NA,NA,NA,NA,NA
6081,6081,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,265.7900390625,941.179748535156,NA,NA,NA,NA,NA,NA
6437,6437,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,279.342803955078,983.641540527344,NA,NA,NA,NA,NA,NA
7097,7097,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,228.296447753906,1269.9833984375,NA,NA,NA,NA,NA,NA
7707,7707,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,430.981176757813,1059.69233398438,NA,NA,NA,NA,NA,NA
7722,7722,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,324.627374267578,977.189001464844,NA,NA,NA,NA,NA,NA
8298,8298,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,344.997399902344,919.555871582031,NA,NA,NA,NA,NA,NA
8550,8550,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,54.7946586608887,245.952438354492,NA,NA,NA,NA,NA,NA
9362,9362,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,195.024429321289,848.104858398438,NA,NA,NA,NA,NA,NA
9478,9478,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,314.180902099609,996.814208984375,NA,NA,NA,NA,NA,NA
